Institution,Rating Rank After IUT 2026,Rating Rank After SUST 2026,Rating Rank After DUET 2026,Rating Rank After NSU 2026,Rating Rank After NDUB 2026,Rating Rank After BUET 2026,Rating Rank After ICPC 2025,Rating Rank After CUET 2025,Rating Rank After MU 2025,Rating Rank After UU 2025,Rating Rank After DUET 2025,Rating Rank After AUST 2025,Rating Rank After UIU 2025,Rating Rank After KUET 2025,Rating Rank After ICPC 2024,Rating Rank After BUET 2024,Rating Rank After IUT 2024,Rating Rank After NCPC 2024,Rating Rank After SUST 2024,Rating Rank After CUET 2024
ISLAMIC UNIVERSITY,27,24,24,24,22,31,32,32,29,27,22,21,18,18,16,22,25,24,22,
UNIVERSITY OF BARISAL,28,30,29,30,29,27,29,25,19,22,35,33,32,30,28,30,20,22,20,36
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,29,29,28,27,25,22,19,21,20,30,28,25,26,26,27,24,19,18,17,16
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,30,28,31,31,32,30,30,31,34,34,29,32,33,31,30,35,44,40,35,39
"CITY UNIVERSITY, BANGLADESH",31,,,,,,,,,,,,,,,,,,,
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,32,31,30,29,30,28,26,18,10,13,18,11,10,10,10,10,17,19,21,21
NETROKONA UNIVERSITY,33,32,32,32,33,37,37,35,33,37,38,37,34,32,32,58,57,52,45,27
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,34,33,34,43,43,42,39,34,37,33,52,48,48,46,64,74,73,69,,
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,35,47,46,40,46,49,50,50,48,49,46,54,58,54,53,54,63,63,58,48
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,36,34,33,47,48,41,42,42,56,53,53,51,49,47,47,48,48,45,39,29
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,37,41,36,34,34,32,31,38,36,36,30,34,43,40,39,32,39,31,53,
EASTERN UNIVERSITY,38,35,35,33,31,44,44,109,109,109,109,107,106,105,104,,,,,
UNITED INTERNATIONAL UNIVERSITY,39,40,41,41,39,40,38,37,38,41,39,41,38,39,44,38,30,30,25,25
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),40,36,38,52,53,46,49,46,43,42,42,46,45,42,43,34,33,32,,
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,41,37,37,35,35,34,34,33,31,31,31,27,30,28,29,36,45,39,33,
NATIONAL UNIVERSITY,42,38,40,38,38,36,36,40,39,39,37,36,37,36,36,39,38,37,38,
UNIVERSITY OF ASIA PACIFIC,43,46,44,39,40,45,43,43,44,47,47,44,44,44,42,40,47,43,41,41
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,44,39,39,37,37,33,33,36,35,28,25,23,29,34,38,33,29,26,24,35
NORTHERN UNIVERSITY BANGLADESH,45,50,50,51,96,97,93,83,84,85,85,72,72,70,83,85,84,,,
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,46,42,43,45,41,39,40,44,41,54,55,74,73,82,79,70,70,,,
PREMIER UNIVERSITY,47,44,51,50,49,43,45,41,50,48,49,58,59,55,50,50,50,47,40,30
VARENDRA UNIVERSITY,48,56,63,59,59,50,54,59,58,56,56,57,61,58,57,56,55,55,46,
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,49,59,60,83,81,78,79,67,67,66,66,76,76,87,84,,,,,
EAST DELTA UNIVERSITY,50,43,42,36,36,35,35,30,32,32,34,35,35,35,35,37,40,36,32,26
JAGANNATH UNIVERSITY,51,45,45,42,42,38,41,39,40,38,41,39,36,37,34,26,24,59,,
PRIME UNIVERSITY,52,62,57,53,55,58,59,54,52,52,48,50,65,64,62,52,52,57,54,44
DHAKA CITY COLLEGE,53,48,49,44,44,59,60,49,47,45,44,49,50,48,45,47,37,38,52,49
MANARAT INTERNATIONAL UNIVERSITY,54,49,47,73,70,84,118,109,109,109,109,107,106,105,104,,,,,
CITY UNIVERSITY,55,51,48,48,45,54,52,52,49,89,91,86,87,85,89,,,,,
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,56,53,54,68,63,64,62,58,53,50,54,93,90,88,85,77,76,65,62,
"UNIVERSITY OF FRONTIER TECHNOLOGY, BANGLADESH",57,52,52,49,50,62,77,61,66,62,65,60,60,101,100,,,,,
SOUTHEAST UNIVERSITY,58,57,55,58,57,51,48,47,42,40,36,30,23,23,23,18,51,51,61,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,59,58,56,56,51,61,58,57,57,58,63,61,57,53,51,46,41,35,30,37
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,60,69,73,81,80,77,78,75,74,72,70,64,63,65,65,67,67,60,55,40
MYMENSINGH ENGINEERING COLLEGE,61,55,58,87,83,79,80,68,68,67,68,98,95,94,88,75,74,64,60,
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,62,54,53,46,47,69,69,78,81,78,81,69,66,62,61,60,,,,
UTTARA UNIVERSITY,63,61,66,60,58,53,66,65,75,73,76,66,67,68,68,63,61,,,
KISHOREGANJ UNIVERSITY,64,60,61,57,54,47,47,45,62,61,60,59,55,52,52,51,54,54,49,42
DHAKA INTERNATIONAL UNIVERSITY,65,63,59,55,52,60,57,56,54,51,50,45,47,73,80,71,71,,,
SONARGAON UNIVERSITY,66,68,65,54,56,48,46,73,69,69,67,79,79,76,74,80,79,70,,
TEJGAON COLLEGE,67,80,81,85,85,82,82,70,73,70,72,94,93,91,86,79,78,68,,
NORTH EAST UNIVERSITY BANGLADESH,68,65,64,62,60,57,56,51,51,57,59,56,53,57,55,59,58,53,47,32
BANGLADESH AGRICULTURAL UNIVERSITY,69,81,79,75,76,72,70,71,77,74,75,84,84,83,95,85,84,,,
JAMALPUR SCIENCE AND TECHNOLOGY UNIVERSITY,70,64,62,63,91,90,89,,,,,,,,,,,,,
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,71,97,97,92,90,87,86,84,78,77,78,71,71,67,67,73,65,61,57,51
BGC TRUST UNIVERSITY BANGLADESH,72,67,67,67,66,65,64,103,103,103,103,101,100,98,96,83,82,73,,
INSTITUTE OF SCIENCE AND TECHNOLOGY,73,79,78,70,61,55,53,53,46,46,40,40,40,38,37,31,23,17,10,9
BANGLADESH UNIVERSITY OF PROFESSIONALS,74,72,71,65,65,63,61,55,55,44,45,42,41,61,59,61,59,56,50,50
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,75,70,72,64,64,75,74,62,64,63,62,62,56,51,49,45,35,67,,
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),76,71,70,66,67,68,67,91,90,91,89,75,75,71,71,81,80,71,,
NOTRE DAME UNIVERSITY BANGLADESH,77,75,74,71,71,100,99,90,86,90,86,80,106,105,104,85,84,,,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",78,73,69,69,68,56,55,48,45,43,43,43,42,41,40,43,42,42,51,43
RANGPUR POLYTECHNIC INSTITUTE,79,74,75,102,103,104,104,104,104,104,104,102,101,99,98,,,,,
PRESIDENCY UNIVERSITY,80,76,77,72,69,70,73,74,71,71,69,107,106,105,104,,,,,
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,81,66,68,61,62,52,51,60,61,59,61,67,69,72,70,64,62,,,
"INDEPENDENT UNIVERSITY, BANGLADESH",82,77,76,77,75,73,68,63,63,60,57,53,51,56,54,53,46,44,43,46
PORT CITY INTERNATIONAL UNIVERSITY,83,78,82,74,72,67,65,72,60,55,51,47,46,43,41,55,53,50,42,31
FARIDPUR ENGINEERING COLLEGE,84,82,80,79,77,74,75,77,76,75,74,63,62,60,60,84,83,74,,
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,85,84,84,80,74,71,71,76,72,76,73,65,70,66,66,62,60,58,59,52
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,86,124,124,119,119,119,118,109,109,109,109,,,,,,,,,
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,87,89,89,119,119,119,118,109,109,109,,,,,,,,,,
FENI UNIVERSITY,88,83,83,76,73,66,63,64,59,64,58,52,52,49,48,42,21,21,23,18
DAFFODIL POLYTECHNIC INSTITUTE,89,91,92,,,,,,,,,,,,,,,,,
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,90,85,85,78,78,76,72,79,82,79,82,70,68,63,63,57,56,48,48,38
STAMFORD UNIVERSITY BANGLADESH,91,86,86,119,119,119,118,,,,,,,,,,,,,
BANGLADESH OPEN UNIVERSITY,92,87,87,110,110,110,109,102,102,102,102,96,97,92,90,,,,,
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",93,124,124,119,119,119,118,,,,,,,,,,,,,
KHWAJA YUNUS ALI UNIVERSITY,94,88,88,86,86,85,84,81,80,83,84,89,89,89,104,,,,,
THAKURGAON POLYTECHNIC INSTITUTE,95,90,91,115,115,115,114,,,,,,,,,,,,,
UNIVERSITY OF LIBERAL ARTS BANGLADESH,96,113,113,105,105,105,103,94,95,94,95,82,77,74,69,65,64,,,
R. P. SHAHA UNIVERSITY,97,92,90,82,79,80,76,66,65,65,64,55,54,50,56,76,75,62,56,47
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,98,93,93,,,,,,,,,,,,,,,,,
DAFFODIL INSTITUTE OF IT (DIIT),99,94,94,84,84,81,81,69,70,68,71,100,99,97,94,82,81,72,,
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,100,95,95,119,119,119,118,109,109,109,109,107,106,105,104,85,84,,,
BANGLADESH UNIVERSITY,101,96,96,91,89,86,85,80,79,82,80,78,91,105,104,85,84,,,
WORLD UNIVERSITY OF BANGLADESH,102,98,99,89,88,89,88,109,109,109,109,107,106,105,104,,,,,
CANADIAN UNIVERSITY OF BANGLADESH,103,101,102,93,94,94,91,98,97,98,97,90,85,79,77,66,66,,,
CHITTAGONG INDEPENDENT UNIVERSITY,104,99,101,95,93,91,90,85,85,84,79,99,94,93,91,78,77,66,63,
SYLHET INTERNATIONAL UNIVERSITY,105,100,98,90,87,88,87,86,89,80,77,68,64,59,58,49,49,46,34,
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",106,102,103,96,97,92,92,82,83,81,83,107,106,105,104,,,,,
EUROPEAN UNIVERSITY OF BANGLADESH,107,103,104,94,92,93,94,109,109,109,109,,,,,,,,,
INTERNATIONAL UNIVERSITY OF SCHOLARS,108,104,100,88,82,83,83,101,101,101,101,95,96,95,92,,,,,
"NORTH WESTERN UNIVERSITY, KHULNA",109,105,106,97,95,95,96,93,92,93,92,77,78,75,72,,,,,
RANGPUR ENGINEERING COLLEGE,110,106,105,99,100,96,95,87,88,86,88,83,82,80,97,,,,,
UNIVERSITY OF GLOBAL VILLAGE,111,107,107,101,101,99,97,89,91,88,90,85,81,78,76,69,69,,,
BANGLADESH UNIVERSITY OF TEXTILES,112,108,108,98,99,98,98,99,100,99,100,92,92,90,87,,,,,
CHATTOGRAM POLYTECHNIC INSTITUTE,113,109,109,100,98,101,100,100,99,100,99,88,88,86,82,,,,,
GONO BISHWABIDYALAY (GONO UNIVERSITY),114,110,110,103,102,103,101,88,87,87,87,73,74,69,73,,,,,
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",115,111,111,106,106,106,105,95,93,95,93,81,80,77,75,,,,,
INTERNATIONAL STANDARD UNIVERSITY,116,112,112,107,107,107,106,96,96,96,96,87,83,81,78,68,68,,,
TMSS ENGINEERING COLLEGE,117,114,115,108,108,108,107,97,98,97,98,91,86,84,81,72,72,,,
ASIAN UNIVERSITY OF BANGLADESH,118,115,114,104,104,102,102,92,94,92,94,97,98,96,93,,,,,
FAREAST INTERNATIONAL UNIVERSITY,119,116,116,109,109,109,108,105,105,105,105,103,102,100,99,,,,,
TEESTA UNIVERSITY,120,117,117,111,111,111,110,109,109,109,109,107,106,105,104,,,,,
RTM AL-KABIR TECHNICAL UNIVERSITY,121,118,118,112,112,112,111,108,108,108,108,106,105,104,103,85,84,,,
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,122,119,119,113,113,113,112,109,109,109,109,107,106,105,104,,,,,
STATE UNIVERSITY OF BANGLADESH,123,120,120,114,114,114,113,106,106,106,106,104,103,102,101,,,,,
SOUTHERN UNIVERSITY BANGLADESH,124,121,121,117,116,116,115,107,107,107,107,105,104,103,102,,,,,
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",125,122,122,116,117,117,116,109,109,109,109,107,106,105,104,,,,,
HAMDARD UNIVERSITY BANGLADESH,126,123,123,118,118,118,117,109,109,109,109,107,106,105,104,,,,,
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,127,124,124,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
BRAHMANBARIA POLYTECHNIC INSTITUTE,127,124,124,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
CENTRAL WOMENS UNIVERSITY,127,124,124,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,127,124,124,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
DAFFODIL INTERNATIONAL COLLEGE,127,124,124,119,119,119,118,109,109,109,109,,,,,,,,,
BARISAL INFORMATION TECHNOLOGY COLLEGE,127,124,124,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
GERMAN UNIVERSITY BANGLADESH,127,124,124,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
HEADWAY ENGINEERING INSTITUTE | SYLHET,127,124,124,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
PABNA GOVERNMENT POLYTECHNIC INSTITUTE,127,124,124,,,,,,,,,,,,,,,,,
PABNA ENGINEERING COLLEGE,127,124,124,119,119,119,118,,,,,,,,,,,,,
PRIMEASIA UNIVERSITY,127,124,124,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
"RABINDRA MAITREE UNIVERSITY, KUSHTIA",127,124,,,,,,,,,,,,,,,,,,
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,127,124,124,119,119,119,118,109,109,109,109,107,106,105,,,,,,
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,127,124,124,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,,,,,,,,,,,,,
BANGLADESH DIGITAL UNIVERSITY,,,,,,,,,,,,,,,,,,,,
BGIFT INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,
CUMILLA POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,,,,
DHAKA RESIDENTIAL MODEL COLLEGE,,,,,,,,,,,,,,,,,,,,
DR. SEKANDAR ALI COLLEGE,,,,,,,,,,,,,,,,,,,,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",,,,,,,,,,,,,,,,,,,,
INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY (ICST),,,,,,,,,,,,,,,,,,,,
MODEL INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,
SHEIKH BURHANUDDIN POST GRADUATE COLLEGE,,,,,,,,,,,,,,,,,,,,
SIMT ENGINEERING COLLEGE,,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF SCIENCE & TECHNOLOGY CHITTAGONG,,,,,,,,,,,,,,,,,,,,
