Institution,CGPA,Slots
METROPOLITAN UNIVERSITY,0.4639163128642236,1
"BEGUM ROKEYA UNIVERSITY, RANGPUR",0.4631109171306532,1
UNITED INTERNATIONAL UNIVERSITY,0.45881413061622534,1
PORT CITY INTERNATIONAL UNIVERSITY,0.38699249430661253,1
UNIVERSITY OF ASIA PACIFIC,0.3703764458531256,1
DHAKA CITY COLLEGE,0.3618803120722229,1
FENI UNIVERSITY,0.3489138137076017,1
BANGLADESH UNIVERSITY OF PROFESSIONALS,0.31717053350849367,1
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,0.2735013370925751,1
"INDEPENDENT UNIVERSITY, BANGLADESH",0.2623668776935476,1
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,0.2517969588254852,1
PREMIER UNIVERSITY,0.24485703585353594,1
DHAKA INTERNATIONAL UNIVERSITY,0.24161096547618988,1
PRIME UNIVERSITY,0.2303940364644222,1
NORTH EAST UNIVERSITY BANGLADESH,0.2175485665726902,1
VARENDRA UNIVERSITY,0.19843368773861267,1
R. P. SHAHA UNIVERSITY,0.19688603244068387,1
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,0.19062056592590784,1
SYLHET INTERNATIONAL UNIVERSITY,0.18385710044883918,1
FARIDPUR ENGINEERING COLLEGE,0.1441424471593008,1
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,0.1333853749858076,1
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,0.12573465264832243,1
UTTARA UNIVERSITY,0.1124053518967397,1
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.1107199856460369,1
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.09718267343976739,1
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,0.07179713524632322,1
SONARGAON UNIVERSITY,0.06779899667942471,1
INTERNATIONAL STANDARD UNIVERSITY,0.06213618944615112,1
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.05921365071896341,1
TMSS ENGINEERING COLLEGE,0.056166193874280665,1
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,0.04834327061256179,1
BANGLADESH UNIVERSITY,0.04606563734227801,1
CHATTOGRAM POLYTECHNIC INSTITUTE,0.046023575014719334,1
MYMENSINGH ENGINEERING COLLEGE,0.043666292017515006,1
CITY UNIVERSITY,0.04173692499423522,1
CHITTAGONG INDEPENDENT UNIVERSITY,0.04122796792970955,1
BANGLADESH AGRICULTURAL UNIVERSITY,0.0402619274429044,1
RANGPUR ENGINEERING COLLEGE,0.039788562118679836,1
TEJGAON COLLEGE,0.03607863880214829,1
BANGLADESH OPEN UNIVERSITY,0.031602309097106165,1
KHWAJA YUNUS ALI UNIVERSITY,0.030728285918107695,1
ASIAN UNIVERSITY OF BANGLADESH,0.02721813217452206,1
DAFFODIL INSTITUTE OF IT (DIIT),0.023780603655969127,1
DHAKA RESIDENTIAL MODEL COLLEGE,0.0,1
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),0.0,1
EUROPEAN UNIVERSITY OF BANGLADESH,0.0,1
BRAHMANBARIA POLYTECHNIC INSTITUTE,0.0,1
BANGLADESH DIGITAL UNIVERSITY,0.0,1
DAFFODIL INTERNATIONAL COLLEGE,0.0,1
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",0.0,1
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.0,1
KISHOREGANJ UNIVERSITY,0.0,1
PRESIDENCY UNIVERSITY,0.0,1
THAKURGAON POLYTECHNIC INSTITUTE,0.0,1
SIMT ENGINEERING COLLEGE,0.0,1
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,0.0,1
